Region Code,Region,Name,Type,Address,CAP,City,State,ID,Longitude,Latitude
100,Umbria,Ausl Umbria N.2,Ausl,Viale Bramante  37,5100,Terni,Italy,QWU663,12.6349947,42.5708852
130,Abruzzo,ASL Avezzano-Sulmona-L'Aquila,ASL,L'Aquila  Via G. Bellisari Snc,67100,L'Aquila,Italy,IUH885,13.9334096,42.0388526
130,Abruzzo,ASL Avezzano-Sulmona-L'Aquila,ASL,Via G. Bellisari Snc,67100,L'Aquila,Italy,PQI989,13.9334096,42.0388526
130,Abruzzo,ASL Avezzano-Sulmona-L'Aquila,ASL,L'Aquila  Via G. Bellisari Snc -,67100,L'Aquila,Italy,TZJ357,13.9334096,42.0388526
200,Sardegna,ASL Per La Tutela Della Salute,ASL,Via Monte Grappa 82,7100,Sassari,Italy,JCJ658,9.1192718,39.2303016
170,Basilicata,ASL Sanitaria Locale Di Matera  Asm,ASL,Via Montescaglioso 20,75100,Matera,Italy,DCP897,16.6179902,40.6501272
170,Basilicata,ASL Sanitaria Locale Di Potenza Asp,ASL,Via Torraca 2,85100,Potenza,Italy,NDK558,15.8087951,40.63694419999999
20,Valle D'Aosta,U.S.L. Valle D'Aosta,U.S.L.,Via Guido Rey 1,11100,Aosta,Italy,TCL973,7.299739799999999,45.7351355
50,Veneto,Ulss N.1 Dolomiti,Ulss,Via Feltre 57,32100,Belluno,Italy,NFH943,12.2054365,46.13739899999999
50,Veneto,Ulss N.2 Marca Trevigiana,Ulss,Via S. Ambrogio In Fiera 37,31100,Treviso,Italy,OFP967,12.2602365,45.659399
50,Veneto,Ulss N.3 Serenissima,Ulss,Via Don Federico Tosatto 147,30174,Venezia,Italy,LEX327,12.2301217,45.5112052
50,Veneto,Ulss N.4 Veneto Orientale,Ulss,P.Zza De Gasperi 5,30027,San Dona' Di Piave,Italy,DHK869,12.5729068,45.629925
